feature,mean,std,count,cv
financials_2027_ytd_2608553_lag_1_roll_std_5,0.0,0.0,2,
financials_2027_ytd_2608553_lag_1_roll_std_63,0.0,0.0,2,
financials_2027_ytd_2608553_lag_21,0.0,0.0,2,
financials_2027_ytd_2608553_lag_21_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2608553_lag_21_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2608553_lag_21_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2608553_lag_21_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2608553_lag_21_roll_std_5,0.0,0.0,2,
financials_2027_ytd_2608553_lag_21_roll_std_63,0.0,0.0,2,
financials_2027_ytd_2608553_lag_5,0.0,0.0,2,
financials_2027_ytd_2608553_lag_5_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2608553_lag_5_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2608553_lag_5_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2608553_lag_5_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2608553_lag_5_roll_std_5,0.0,0.0,2,
financials_2027_ytd_2608553_lag_5_roll_std_63,0.0,0.0,2,
financials_2027_ytd_2608553_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2608553_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2608553_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2608553_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2608553_roll_std_5,0.0,0.0,2,
financials_2027_ytd_2608553_roll_std_63,0.0,0.0,2,
financials_2027_ytd_2635408,0.0,0.0,2,
financials_2027_ytd_2635408_lag_1,0.0,0.0,2,
financials_2027_ytd_2635408_lag_1_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2635408_lag_1_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2635408_lag_1_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2635408_lag_1_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2635408_lag_1_roll_std_5,0.0,0.0,2,
financials_2027_ytd_2635408_lag_1_roll_std_63,0.0,0.0,2,
financials_2027_ytd_2635408_lag_21,0.0,0.0,2,
financials_2027_ytd_2635408_lag_21_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2635408_lag_21_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2635408_lag_21_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2635408_lag_21_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2635408_lag_21_roll_std_5,0.0,0.0,2,
financials_2027_ytd_2635408_lag_21_roll_std_63,0.0,0.0,2,
financials_2027_ytd_2635408_lag_5,0.0,0.0,2,
financials_2027_ytd_2635408_lag_5_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2635408_lag_5_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2635408_lag_5_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2635408_lag_5_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2635408_lag_5_roll_std_5,0.0,0.0,2,
financials_2027_ytd_2635408_lag_5_roll_std_63,0.0,0.0,2,
financials_2027_ytd_2635408_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2635408_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2635408_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2635408_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2635408_roll_std_5,0.00056765013,0.0008027785,2,1.4142135
financials_2027_ytd_2635408_roll_std_63,0.0,0.0,2,
financials_2027_ytd_270906752,0.0,0.0,2,
financials_2027_ytd_270906752_lag_1,0.0,0.0,2,
financials_2027_ytd_270906752_lag_1_roll_mean_21,0.0,0.0,2,
