date,portfolio_value
2022-08-04,1781869.0171656422
2022-08-05,1783871.3812745134
2022-08-08,1786356.3902185897
2022-08-09,1788934.952890591
2022-08-10,1791675.341681285
2022-08-11,1794114.725222524
2022-08-12,1796312.0343042945
2022-08-15,1798283.2238080332
2022-08-16,1800527.258425165
2022-08-17,1802953.0796991694
2022-08-18,1805612.9113618815
2022-08-19,1808177.8563965338
2022-08-22,1810581.1866937436
2022-08-23,1812946.760207712
2022-08-24,1815325.947202651
2022-08-25,1817844.5879518224
2022-08-26,1820448.0698356675
2022-08-29,1823118.1591102153
2022-08-30,1825636.041723836
2022-08-31,1827804.913696861
2022-09-01,1829612.8413541296
2022-09-02,1831172.2452221655
2022-09-06,1832234.3096206987
2022-09-07,1833099.694231235
2022-09-08,1834152.3450884316
2022-09-09,1835386.6492097357
2022-09-12,1836822.0818129831
2022-09-13,1838843.7910499612
2022-09-14,1840878.9190482148
2022-09-15,1842681.528387717
2022-09-16,1844059.9128622478
2022-09-19,1845330.4842651843
2022-09-20,1846254.9603548087
2022-09-21,1847098.1070786747
2022-09-22,1847284.9874802507
2022-09-23,1847284.9874802507
2022-09-26,1847284.9874802507
2022-09-27,1847284.9874802507
2022-09-28,1847284.9874802507
2022-09-29,1847284.9874802507
2022-09-30,1847284.9874802507
2022-10-03,1847284.9874802507
2022-10-04,1847284.9874802507
2022-10-05,1841500.606787394
2022-10-06,1836428.9849518726
2022-10-07,1831095.065990218
2022-10-10,1828536.3450030568
2022-10-11,1837811.9163235119
2022-10-12,1848937.866550849
2022-10-13,1861269.6383788076
2022-10-14,1874060.6565695342
2022-10-17,1887154.5738133844
2022-10-18,1900346.0944741913
2022-10-19,1913421.2892871117
2022-10-20,1926842.6730569855
2022-10-21,1940269.5610989202
2022-10-24,1953430.7870430378
2022-10-25,1965929.8119823893
2022-10-26,1977471.5129793836
2022-10-27,1987650.937561593
2022-10-28,1996583.0115071144
2022-10-31,2004801.440781598
2022-11-01,2012478.920572585
2022-11-02,2020307.1487989689
2022-11-03,2028304.341490586
