date,weights,portfolio_return,prediction,actual_return
2020-10-26,{'primary_asset': np.float32(0.02)},0.001493011397207218,0.063654214,0.09137948352779218
2020-10-27,{'primary_asset': np.float32(0.02)},0.0015831974972532745,0.06532191,0.1070072193500112
2020-10-28,{'primary_asset': np.float32(0.02)},0.0019052903486023033,0.08294659,0.14055230281818612
2020-10-29,{'primary_asset': np.float32(0.02)},0.0020991954395564814,0.08032891,0.11678477694745167
2020-10-30,{'primary_asset': np.float32(0.02)},0.0020488268908982615,0.084803246,0.08148295145707724
2020-11-02,{'primary_asset': np.float32(0.02)},0.0019223038602101416,0.07343185,0.05974872514875971
2020-11-03,{'primary_asset': np.float32(0.02)},0.0016501168522127527,0.07576255,0.0389604658297005
2020-11-04,{'primary_asset': np.float32(0.02)},0.0011887844974308138,0.06634091,0.02521921154480597
2020-11-05,{'primary_asset': np.float32(0.02)},0.0007156075048154899,0.067348056,-0.0015094738504618697
2020-11-06,{'primary_asset': np.float32(0.02)},0.00016184401994351127,0.06744028,-0.05695792285531212
2020-11-09,{'primary_asset': np.float32(0.02)},-0.00012086586638833717,0.06559641,-0.010928748013967033
2020-11-10,{'primary_asset': np.float32(0.02)},-0.00045883363204607944,0.06079315,-0.045531477473277175
2020-11-11,{'primary_asset': np.float32(0.02)},-0.0005696874458460904,0.059445933,-0.0024942425246407426
2020-11-12,{'primary_asset': np.float32(0.02)},-0.0005876166578961735,0.055713147,-0.005991776963169879
2020-11-13,{'primary_asset': np.float32(0.02)},-0.0004829355411036024,0.05369074,-0.030787643072218047
2020-11-16,{'primary_asset': np.float32(0.02)},-0.0006230918801242852,0.058142293,-0.04596783355232229
2020-11-17,{'primary_asset': np.float32(0.02)},-0.0005384408643855011,0.056216422,-0.024368723065556736
2020-11-18,{'primary_asset': np.float32(0.02)},-0.0007443042800241515,0.05621798,-0.05396009758465485
2020-11-19,{'primary_asset': np.float32(0.02)},-0.0007617456106296158,0.054409128,-0.010352109711996987
2020-11-20,{'primary_asset': np.float32(0.02)},-0.0006927282676368052,0.052021027,-0.013533306938350944
2020-11-23,{'primary_asset': np.float32(0.02)},-0.0005921408325747432,0.053668223,-0.020820974224730678
2020-11-24,{'primary_asset': np.float32(0.02)},-0.0005258458627092593,0.04268161,-0.007794980228733738
2020-11-25,{'primary_asset': np.float32(0.02)},-0.00024289893992017662,0.051959593,0.01677663469370499
2020-11-27,{'primary_asset': np.float32(0.02)},-0.00010619039861214755,0.045737684,0.023825026378928797
2020-11-30,{'primary_asset': np.float32(0.02)},-1.3471667643876308e-06,0.050727986,0.01267750160944626
2020-12-01,{'primary_asset': np.float32(0.02)},0.0002679313252188054,0.049931105,0.04649865027577844
2020-12-02,{'primary_asset': np.float32(0.02)},0.0003408854848555587,0.042441767,0.010443560088117755
2020-12-03,{'primary_asset': np.float32(0.02)},0.000522050824574123,0.04529878,0.062067970635686295
2020-12-04,{'primary_asset': np.float32(0.02)},0.0008348329156336425,0.059669793,0.10202055089161484
2020-12-07,{'primary_asset': np.float32(0.02)},0.001309337437933465,0.055998288,0.13130363483590266
2020-12-08,{'primary_asset': np.float32(0.02)},0.0014824680609293046,0.030791681,0.08978130699218108
2020-12-09,{'primary_asset': np.float32(0.02)},0.0018757576349374304,0.040182784,0.10876595578782594
2020-12-10,{'primary_asset': np.float32(0.02)},0.0021896128585817535,0.050349504,0.1405317783005698
2020-12-11,{'primary_asset': np.float32(0.02)},0.0021147106386641868,0.036076166,0.08329499549367445
2020-12-14,{'primary_asset': np.float32(0.02)},0.0020389879718080038,0.03676791,0.11237296769872349
2020-12-15,{'primary_asset': np.float32(0.02)},0.0021319418642674823,0.037396334,0.11301978062647111
2020-12-16,{'primary_asset': np.float32(0.02)},0.0021471544692022834,0.056454416,0.11256910710653331
2020-12-17,{'primary_asset': np.float32(0.02)},0.001980684918913798,0.056120187,0.09891438979822732
2020-12-18,{'primary_asset': np.float32(0.02)},0.002138402303892054,0.0524507,0.122724342619553
2020-12-21,{'primary_asset': np.float32(0.02)},0.0021697933954784687,0.05162249,0.12022074077073847
2020-12-22,{'primary_asset': np.float32(0.02)},0.002252613107939378,0.054059077,0.13372470920448964
2020-12-23,{'primary_asset': np.float32(0.02)},0.002190449362847929,0.05109283,0.09702817048630417
2020-12-24,{'primary_asset': np.float32(0.02)},0.002347530126911815,0.043025304,0.13818458169195597
2020-12-28,{'primary_asset': np.float32(0.02)},0.002260590567109533,0.03781428,0.10098945218316992
2020-12-29,{'primary_asset': np.float32(0.02)},0.0021970349015193067,0.041370418,0.10433182401803696
2020-12-30,{'primary_asset': np.float32(0.02)},0.0021701568458100187,0.044113412,0.12700519512697478
2020-12-31,{'primary_asset': np.float32(0.02)},0.002263061295527562,0.04183626,0.12025428343483398
2021-01-04,{'primary_asset': np.float32(0.02)},0.002342931575035158,0.11491753,0.15815215201516494
2021-01-05,{'primary_asset': np.float32(0.02)},0.00257363520187299,0.10942012,0.15866536018178498
2021-01-06,{'primary_asset': np.float32(0.02)},0.0026215166035521336,0.10141306,0.11630217470538112
2021-01-07,{'primary_asset': np.float32(0.02)},0.002574143341715315,0.10317702,0.11516187940305139
2021-01-08,{'primary_asset': np.float32(0.02)},0.002771771418515718,0.10854999,0.16966130373926763
2021-01-11,{'primary_asset': np.float32(0.02)},0.0026772804065465523,0.09615222,0.1345293984948638
2021-01-12,{'primary_asset': np.float32(0.02)},0.0024760760467808997,0.09077299,0.10836426911605483
2021-01-13,{'primary_asset': np.float32(0.02)},0.002486297417684051,0.0914311,0.1188575174882854
2021-01-14,{'primary_asset': np.float32(0.02)},0.0023622485552050715,0.08713561,0.0841496630901294
2021-01-15,{'primary_asset': np.float32(0.02)},0.0019191900330828224,0.07368917,0.0588966707329228
2021-01-19,{'primary_asset': np.float32(0.02)},0.0016624084748641046,0.04798983,0.07033400750530559
2021-01-20,{'primary_asset': np.float32(0.02)},0.0014662496864913646,0.053643167,0.05932457092674716
2021-01-21,{'primary_asset': np.float32(0.02)},0.0012341765168308741,0.038418088,0.06083922377635287
2021-01-22,{'primary_asset': np.float32(0.02)},0.001127868866336093,0.049984287,0.057572749872393754
2021-01-25,{'primary_asset': np.float32(0.02)},0.001068064890396061,0.048478745,0.04394567641373409
2021-01-26,{'primary_asset': np.float32(0.02)},0.0010632170572418538,0.048279274,0.06912204918966443
2021-01-27,{'primary_asset': np.float32(0.02)},0.00096865210343127,0.050375808,0.035683331945678326
2021-01-28,{'primary_asset': np.float32(0.02)},0.0008981747681261129,0.06001686,0.0432198895562408
2021-01-29,{'primary_asset': np.float32(0.02)},0.0006834260721345568,0.037335463,0.003885574674502858
2021-02-01,{'primary_asset': np.float32(0.02)},0.00041468877142720377,0.019435836,-0.023238650264790918
2021-02-02,{'primary_asset': np.float32(0.02)},-3.960641706169291e-05,0.02007037,-0.04445175047113198
2021-02-03,{'primary_asset': np.float32(0.02)},-0.0002940817916981264,0.015659299,-0.027935513135422044
2021-02-04,{'primary_asset': np.float32(0.02)},-0.000666287286078774,0.016868688,-0.04983148611878141
2021-02-05,{'primary_asset': np.float32(0.02)},-0.0008651908441961845,0.023065992,-0.045840315966310025
2021-02-08,{'primary_asset': np.float32(0.02)},-0.0010920178186590043,0.019468179,-0.07994539514799041
2021-02-09,{'primary_asset': np.float32(0.02)},-0.001293206254989784,0.02419712,-0.09474886067805491
2021-02-10,{'primary_asset': np.float32(0.02)},-0.0014793208224691417,0.024682533,-0.0744641560452577
2021-02-11,{'primary_asset': np.float32(0.02)},-0.001543324566110464,0.045056827,-0.06583242238676076
2021-02-12,{'primary_asset': np.float32(0.02)},-0.0016807949004077776,0.02706578,-0.08020790030881385
2021-02-16,{'primary_asset': np.float32(0.02)},-0.0015709710329559416,0.036158964,-0.052489427671342605
2021-02-17,{'primary_asset': np.float32(0.02)},-0.0013391102809096921,0.048556425,-0.03678367137086961
2021-02-18,{'primary_asset': np.float32(0.02)},-0.0011972623175393485,0.04720905,-0.03900216441003457
2021-02-19,{'primary_asset': np.float32(0.02)},-0.0012324958200992497,0.037660893,-0.07464079822361863
2021-02-22,{'primary_asset': np.float32(0.014371141)},-0.0008466710501246809,0.016440857,-0.06665729784941496
2021-02-23,{'primary_asset': np.float32(0.02)},-0.0013506196006414857,0.020699594,-0.09557097592636855
2021-02-24,{'primary_asset': np.float32(0.02)},-0.0015076054378796644,0.027559148,-0.076030131557641
2021-02-25,{'primary_asset': np.float32(0.02)},-0.0016193955796464283,0.03284806,-0.06694970047640167
2021-02-26,{'primary_asset': np.float32(0.01712424)},-0.0014702096755929604,0.018250655,-0.0990692623797779
2021-03-01,{'primary_asset': np.float32(0.0075914986)},-0.0006629292731188601,0.012222065,-0.07400602484527707
2021-03-02,{'primary_asset': np.float32(0.009114191)},-0.0007316522124318556,0.013472283,-0.06032566148750205
2021-03-03,{'primary_asset': np.float32(0.02)},-0.001430763763360674,0.032936674,-0.0323402997189851
2021-03-04,{'primary_asset': np.float32(0.02)},-0.0012214004318623424,0.035963066,-0.01460886643191002
2021-03-05,{'primary_asset': np.float32(-0.02)},0.0007738234693901214,-0.02921724,-0.037175019115172264
2021-03-08,{'primary_asset': np.float32(-0.02)},0.0007035083538258522,-0.035539676,-0.05642724556129343
2021-03-09,{'primary_asset': np.float32(-0.02)},0.0007334872299844849,-0.03000435,-0.0678203806946802
2021-03-10,{'primary_asset': np.float32(-0.02)},0.0007525520225009522,-0.026659196,-0.03710649795463478
2021-03-11,{'primary_asset': np.float32(-0.02)},0.0008815671586089656,-0.027738417,-0.0468626511798416
2021-03-12,{},0.0,-0.0027254436,-0.06474964792111591
2021-03-15,{},0.0,-0.0053869183,-0.06329161167646906
2021-03-16,{'primary_asset': np.float32(0.009171425)},-0.0004978735770599217,0.010315602,-0.03441609118267791
2021-03-17,{'primary_asset': np.float32(0.02)},-0.0010849423454699551,0.036393855,-0.03691559054273179
2021-03-18,{'primary_asset': np.float32(0.02)},-0.0010965804894673408,0.04663515,-0.04977218724422123
2021-03-19,{'primary_asset': np.float32(0.02)},-0.0010758365367685972,0.04424247,-0.059563659630514174
2021-03-22,{'primary_asset': np.float32(0.02)},-0.0008745530152937665,0.037171293,-0.012970730183001983
2021-03-23,{'primary_asset': np.float32(0.02)},-0.0007853809022249196,0.037716515,-0.01212306241717816
2021-03-24,{'primary_asset': np.float32(0.02)},-0.0005795838708416969,0.047325995,0.014533668453054436
2021-03-25,{'primary_asset': np.float32(0.02)},-0.0005056264625253208,0.036899894,-0.031282834751858
2021-03-26,{'primary_asset': np.float32(0.02)},-0.0004708514030297745,0.045746706,-0.05086989456230679
2021-03-29,{'primary_asset': np.float32(0.02)},-0.0005334222927620278,0.04395836,-0.02861345296570743
2021-03-30,{'primary_asset': np.float32(0.02)},-0.0007116893082983109,0.034778908,-0.05668981729739352
2021-03-31,{'primary_asset': np.float32(0.02)},-0.0009938603231904103,0.038872994,-0.05600908684672384
2021-04-01,{'primary_asset': np.float32(0.02)},-0.001162562600723239,0.0311393,-0.07345840507776263
